cake,code,ingredient,amount,measure
Strawberry Shortcake,GN,Gelatin,NA,tablespoon
Strawberry Shortcake,HC,Heavy cream,NA,cup
Strawberry Shortcake,LJ,Lemon juice,NA,tablespoon
Strawberry Shortcake,LR,Lemon rind,NA,teaspoon
Strawberry Shortcake,MK,Milk,0.5,cup
Strawberry Shortcake,NG,Nutmeg,NA,teaspoon
Strawberry Shortcake,NS,Nuts,NA,cup
Strawberry Shortcake,RM,Rum,NA,ounce
Strawberry Shortcake,SA,Soda,NA,teaspoon
Strawberry Shortcake,SC,Sour cream cup,1,NA
Strawberry Shortcake,SG,Shortening,NA,tablespoon
Strawberry Shortcake,SR,Granulated sugar,0.6,cup
Strawberry Shortcake,SS,Strawberries,1,quart
Strawberry Shortcake,ST,Salt,0.75,teaspoon
Strawberry Shortcake,VE,Vanilla extract,NA,teaspoon
Strawberry Shortcake,WR,Water,NA,cup
Strawberry Shortcake,YT,Yeast,NA,ounce
Strawberry Shortcake,ZH,Zwiebach,NA,ounce
Sponge,AE,Almond essence,0.5,teaspoon
Sponge,BM,Buttermilk,NA,cup
Sponge,BP,Baking powder,1,teaspoon
Sponge,BR,Butter,NA,cup
Sponge,BS,Bananas,NA,one
Sponge,CA,Cocoa,NA,tablespoon
Sponge,CC,Cottage Cheese,NA,pound
Sponge,CE,Chocolate,NA,ounce
Sponge,CI,Crushed Ice,NA,cup
Sponge,CS,Crumbs,NA,cup
Sponge,CT,Cream of tartar,NA,teaspoon
Sponge,DC,Dried currants,NA,tablespoon
Sponge,EG,Eggs,4,one
Sponge,EY,Egg yolk,NA,one
Sponge,EW,Egg white,NA,one
Sponge,FR,Sifted flour,0.75,cup
Sponge,GN,Gelatin,NA,tablespoon
Sponge,HC,Heavy cream,NA,cup
Sponge,LJ,Lemon juice,NA,tablespoon
Sponge,LR,Lemon rind,NA,teaspoon
Sponge,MK,Milk,NA,cup
Sponge,NG,Nutmeg,NA,teaspoon
Sponge,NS,Nuts,NA,cup
Sponge,RM,Rum,NA,ounce
Sponge,SA,Soda,NA,teaspoon
Sponge,SC,Sour cream cup,NA,NA
Sponge,SG,Shortening,NA,tablespoon
Sponge,SR,Granulated sugar,0.75,cup
Sponge,SS,Strawberries,NA,quart
Sponge,ST,Salt,0.25,teaspoon
Sponge,VE,Vanilla extract,NA,teaspoon
Sponge,WR,Water,2,cup
Sponge,YT,Yeast,NA,ounce
Sponge,ZH,Zwiebach,NA,ounce
